bucket,n,churners,churn_rate,lift,cum_churners,cum_pct_churners_captured,cum_pct_customers_contacted
1,141,107,0.7588652482269503,2.8589335153790723,107,28.609625668449194,10.007097232079488
2,141,82,0.5815602836879432,2.190958394963401,189,50.534759358288774,20.014194464158976
3,141,51,0.3617021276595745,1.362669245647969,240,64.1711229946524,30.021291696238467
4,141,58,0.41134751773049644,1.549702279364357,298,79.67914438502673,40.02838892831795
5,141,32,0.22695035460992907,0.855008154132059,330,88.23529411764706,50.03548616039745
6,140,20,0.14285714285714285,0.5381970970206263,350,93.58288770053476,59.97161107168204
7,141,15,0.10638297872340426,0.40078507224940263,365,97.59358288770053,69.97870830376152
8,141,7,0.04964539007092199,0.1870330337163879,372,99.46524064171123,79.98580553584102
9,141,0,0.0,0.0,372,99.46524064171123,89.99290276792051
10,141,2,0.014184397163120567,0.05343800963325369,374,100.0,100.0
